"country","CarCompaniesNumOfCarCompanies","CarCompaniesMostPopularBrands"
"India",7,"Royal Enfield, Tata Motors, TVS, Force Motors"
"China",124,"Chery Automobile, Changan Automobile, CFMoto, BYD Auto, Great Wall, Haval, LDV, Baojun, Beijing Automobile Works, BJEV, Farizon Auto, FAW Group, Hozon Auto"
"United States",231,"Buick, Cadillac, Chevrolet, Chrysler, Dodge, Ford, GMC, Jeep, Tesla"
"Pakistan",1,"Adam"
"Nigeria",1,"Innoson"
"Brazil",10,"MP Lafer, Troller"
"Russia",24,"AvtoVAZ, Lada, UAZ, Moskvich"
"Mexico",3,"Inferno, Mastretta, VUHL"
"Japan",23,"Mazda, Mitsubishi, Nissan, Subaru, Suzuki, Toyota, Honda, Isuzu UTE, Lexus"
"Vietnam",1,"VinFast"
"Iran",2,"IKCO, Saipa"
"Turkey",3,"Anadol, Tekaydinlar,"
"Germany",114,"Audi, BMW, Mercedes-Benz, Opel, Porsche, Smart, Volkswagen"
"Thailand",1,"Thai Rung"
"United Kingdom",157,"Aston Martin, Bentley, Jaguar, Land Rover, Lotus, McLaren, Mini, Rolls Royce"
"France",72,"Bugatti, Citroen, Peugeot, Renault"
"South Africa",3,"Ranger, CAV, Barnard"
"Italy",61,"Abarth, Alfa Romeo, Aprilia, Ferrari, Fiat, Lamborghini, Maserati, Lancia"
"South Korea",10,"Daewoo, Genesis Motor, Kia, Hyundai"
"Spain",20,"Cupra, SEAT"
"Argentina",7,"VOLT, Hamelbot, IKA"
"Poland",8,"Leopard, Stoewer"
"Canada",17,"Monarch, Ski Doo, Can-Am"
"Morocco",1,"Laraki"
"Ukraine",3,"ZAZ"
"Uzbekistan",1,"Ravon"
"Malaysia",3,"Bufori, Perodua, Proton"
"Australia",9,"Holden"
"Taiwan",8,"Foxtron, Luxgen"
"Sri Lanka",1,"Vega"
"Romania",3,"Dacia"
"Netherlands",9,"Lightyear"
"Zimbabwe",1,"Naran"
"Belgium",6,"Gillet"
"Sweden",30,"Saab, Polestar, Volvo"
"Czech Republic",8,"Skoda, Jawa Motorcycles"
"Portugal",2,"Irmaos Mota, UMM"
"Hungary",1,"Cobera"
"United Arab Emirates",5,"Devel, Iconiq Motors, W Motors"
"Israel",3,"City Transformer, Sabra, Sussita"
"Austria",9,"KTM"
"Switzerland",12,"Micro, Monteverdi"
"Serbia",3,"Yugo, Zastava"
"Singapore",1,"Vanda Electrics"
"Denmark",2,"Kleemann, Zenvo"
"Slovakia",1,"Rosero"
"Finland",2,"Solifer, Toroidion"
"Norway",2,"Kewet, Vest"
"New Zealand",1,"Hulme"
"Croatia",1,"Rimac"
"Lithuania",2,"Altas, Forveda"
"Slovenia",3,"Bravia-Mobil, Shayton"
"Latvia",6,"Baltijas Džips, Dartz"
"Estonia",2,"Nobe, TARK"
"Andorra",1,"TransAm Depot"
"Liechtenstein",1,"NanoFlowcell"
"Monaco",1,"Monte Carlo"
