Customer Id,City,Country
DD37Cf93aecA6Dc,East Leonard,Chile
1Ef7b82A4CAAD10,East Jimmychester,Djibouti
6F94879bDAfE5a6,Isabelborough,Antigua and Barbuda
5Cef8BFA16c5e3c,Bensonview,Dominican Republic
053d585Ab6b3159,West Priscilla,Slovakia (Slovak Republic)
2d08FB17EE273F4,Chavezborough,Bosnia and Herzegovina
EA4d384DfDbBf77,Lake Ana,Pitcairn Islands
0e04AFde9f225dE,Kimport,Bulgaria
C2dE4dEEc489ae0,Robersonstad,Cyprus
8C2811a503C7c5a,Elaineberg,Timor-Leste
216E205d6eBb815,Shannonville,Guernsey
CEDec94deE6d69B,East Andrea,Vietnam
e35426EbDEceaFF,South Joannamouth,Togo
A08A8aF8BE9FaD4,Jodyberg,Sri Lanka
6fEaA1b7cab7B6C,Burchbury,Singapore
8cad0b4CBceaeec,Desireeshire,Oman
a5DC21AE3a21eaA,West Adriennestad,Western Sahara
F8Aa9d6DfcBeeF8,Lake Leslie,Mozambique
F160f5Db3EfE973,Harmonview,South Georgia and the South Sandwich Islands
0F60FF3DdCd7aB0,Jamesshire,French Polynesia
9F9AdB7B8A6f7F2,East Carly,Malta
FBd0Ded4F02a742,South Alvin,Netherlands
2FB0FAA1d429421,Brittanyview,Paraguay
010468dAA11382c,Veronicamouth,Lao People's Democratic Republic
eC1927Ca84E033e,Bryanville,Albania
09D7D7C8Fe09aea,Kaitlyntown,Panama
aBdfcF2c50b0bfD,Michealshire,Belarus
b92EBfdF8a3f0E6,South Marissatown,Switzerland
3B5dAAFA41AFa22,Acevedoville,Saint Vincent and the Grenadines
EDA69ca7a6e96a2,North Harold,Tanzania
64DCcDFaB9DFd4e,West Samuel,Zimbabwe
679c6c83DD872d6,Cunninghamborough,Denmark
7Ce381e4Afa4ba9,Port Annatown,Liechtenstein
A09AEc6E3bF70eE,New Kaitlyn,United States of America
aA9BAFfBc3710fe,West Marthaburgh,Bahamas
E11dfb2DB8C9f72,East Teresa,Belize
889eCf90f68c5Da,South Hunter,Uruguay
7a1Ee69F4fF4B4D,South Walter,Solomon Islands
dca4f1D0A0fc5c9,Poolefurt,Montenegro
17aD8e2dB3df03D,West John,Poland
2f79Cd309624Abb,West Darius,Dominican Republic
6e5ad5a5e2bB5Ca,North Jimstad,Burkina Faso
7E441b6B228DBcA,East Rebekahborough,Bolivia
D3fC11A9C235Dc6,North Drew,Bulgaria
30Dfa48fe5Ede78,Lake Lindaburgh,Monaco
fD780ED8dbEae7B,Gwendolynview,Palau
300A40d3ce24bBA,Zimmermanland,Uzbekistan
283DFCD0Dba40aF,North Kerriton,Ghana
F4Fc91fEAEad286,North Eileenville,United Arab Emirates
80F33Fd2AcebF05,Port Sergiofort,Belarus
Aa20BDe68eAb0e9,New Alberttown,Canada
e898eEB1B9FE22b,South Jasmine,Algeria
faCEF517ae7D8eB,Cowanfort,Swaziland
c09952De6Cda8aA,New Deborah,Madagascar
f3BEf3Be028166f,Wallstown,Ecuador
C6F2Fc6a7948a4e,Lake Ellenchester,Palestinian Territory
c8FE57cBBdCDcb2,Lake Whitney,Saint Barthelemy
B5acdFC982124F2,East Jaredbury,United Arab Emirates
8c7DdF10798bCC3,Selenabury,South Georgia and the South Sandwich Islands
C681dDd0cc422f7,Huangfort,Sao Tome and Principe
a940cE42e035F28,East Pennyshire,Portugal
9Cf5E6AFE0aeBfd,Port Jasminborough,Togo
aEcbe5365BbC67D,West Kristine,Ethiopia
FCBdfCEAe20A8Dc,South Julia,Netherlands
636cBF0835E10ff,Helenborough,Liberia
fF1b6c9E8Fbf1ff,Lake Nancy,Lithuania
2A13F74EAa7DA6c,Georgeport,New Caledonia
a014Ec1b9FccC1E,South Sophiaberg,Kiribati
421a109cABDf5fa,Hartbury,French Southern Territories
CC68FD1D3Bbbf22,Erikaville,Canada
CBCd2Ac8E3eBDF9,Nicolasfort,Iran
Ef859092FbEcC07,New Jasmineshire,Morocco
F560f2d3cDFb618,East Summerstad,Zimbabwe
A3F76Be153Df4a3,Skinnerport,Russian Federation
D01Af0AF7cBbFeA,Raystad,Solomon Islands
d40e89dCade7b2F,Colinhaven,United States Virgin Islands
BF6a1f9bd1bf8DE,West Reginald,Kyrgyz Republic
FfaeFFbbbf280db,Lake Sherryborough,Myanmar
CbAE1d1e9a8dCb1,Port Katherineville,Dominica
A7F85c1DE4dB87f,Thomasland,Iceland
D6CEAfb3BDbaa1A,Coreybury,Micronesia
Ebdb6F6F7c90b69,Lake Janiceton,Saint Vincent and the Grenadines
E8E7e8Cfe516ef0,East Clinton,Isle of Man
78C06E9b6B3DF20,South Joshuashire,Oman
03A1E62ADdeb31c,New Glenda,Fiji
C6763c99d0bd16D,North Jillianview,New Zealand
ebe77E5Bf9476CE,Lyonsberg,Maldives
E4Bbcd8AD81fC5f,East Cristinabury,Benin
efeb73245CDf1fF,Thomasfurt,Yemen
37Ec4B395641c1E,North Joeburgh,Namibia
5ef6d3eefdD43bE,Cassidychester,Bhutan
98b3aeDcC3B9FF3,South Dannymouth,Hungary
aAb6AFc7AfD0fF3,South Lonnie,Anguilla
54B5B5Fe9F1B6C5,Frankchester,Solomon Islands
BE91A0bdcA49Bbc,Daisyborough,Mali
cb8E23e48d22Eae,East Richard,Guyana
CeD220bdAaCfaDf,New Bradview,Sri Lanka
28CDbC0dFe4b1Db,Ortegaland,Solomon Islands
c23d1D9EE8DEB0A,Lake Elijahview,Aruba
2354a0E336A91A1,Judymouth,Honduras
