,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,day,year_month
6,136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,invoiced,2017-04-11 12:22:08,2017-04-13 13:25:17,,,2017-05-09 00:00:00,2017-04-11,2017-04
74,82bce245b1c9148f8d19a55b9ff70644,388025bec8128ff20ec1a316ed4dcf02,delivered,2017-04-20 17:15:46,2017-04-21 05:15:56,2017-04-24 09:34:13,2017-05-10 09:17:55,2017-05-12 00:00:00,2017-04-20,2017-04
81,3bc77ce8be27211bac313c2daa402d1a,bf141bf67fbe428d558bcf0e018eab60,delivered,2017-04-06 22:39:29,2017-04-06 22:50:24,2017-04-07 14:54:18,2017-04-11 12:31:36,2017-04-27 00:00:00,2017-04-06,2017-04
83,0a4a2fccb27bd83a892fa503987a595b,6772a0a230a2667d16c3620f000e1348,delivered,2017-04-20 20:42:44,2017-04-20 20:55:09,2017-04-25 08:23:08,2017-05-11 13:07:46,2017-05-25 00:00:00,2017-04-20,2017-04
145,e7a65190baa4e6fd192246157c0b81fb,7d986867cfcd083f25ad4f692bd2df06,delivered,2017-04-26 16:14:11,2017-04-27 17:22:58,2017-04-28 12:43:07,2017-05-12 14:04:02,2017-05-29 00:00:00,2017-04-26,2017-04
153,abc5ec9ecaec740b498a37f19c29a8c0,85aa7dc7ea24c96b5ac7864f13922495,delivered,2017-04-30 22:43:56,2017-04-30 22:55:09,2017-05-02 13:58:16,2017-05-12 12:04:38,2017-06-05 00:00:00,2017-04-30,2017-04
179,780fe22baa36991bdbb1559f5b549596,e1862648f338ecaf4242e8e2b59126ca,delivered,2017-04-22 19:26:47,2017-04-22 19:41:06,2017-04-24 11:04:27,2017-04-28 14:37:16,2017-05-15 00:00:00,2017-04-22,2017-04
205,d1f54c6a2a7015c5687439d6d4e971ba,be0db8a12224c280772baf2ccb468e5e,delivered,2017-04-27 11:08:59,2017-04-27 11:22:56,2017-04-27 11:51:58,2017-05-15 12:00:17,2017-06-16 00:00:00,2017-04-27,2017-04
228,e22b71f6e4a481445ec4527cb4c405f7,1faf89c8f142db3fca6cf314c51a37b6,delivered,2017-04-22 13:48:18,2017-04-22 14:01:13,2017-04-24 19:08:53,2017-05-02 15:45:27,2017-05-11 00:00:00,2017-04-22,2017-04
242,7156f3e0b94405abcbad1a8c94557338,5134baea6a4f11251fc92a2f358dfb4c,delivered,2017-04-20 16:18:26,2017-04-20 16:30:11,2017-04-24 09:53:33,2017-05-03 11:43:59,2017-05-10 00:00:00,2017-04-20,2017-04
286,22ff7c206b68858435452298296c2fcb,5ad934ace4646e3dad70148a823eb138,delivered,2017-04-27 10:24:22,2017-04-27 10:35:12,2017-04-28 14:07:00,2017-05-11 17:22:55,2017-05-25 00:00:00,2017-04-27,2017-04
343,727412faf7aef5ef3c7e0f03350d80c7,df01594ad086f53bdbbf927198981446,delivered,2017-04-19 13:45:55,2017-04-21 05:22:15,2017-04-27 05:53:19,2017-05-09 09:03:57,2017-05-25 00:00:00,2017-04-19,2017-04
