,Clothing ID,Division Name,Department Name,Class Name
0,767,Initmates,Intimate,Intimates
1,1080,General,Dresses,Dresses
2,1077,General,Dresses,Dresses
3,1049,General Petite,Bottoms,Pants
4,847,General,Tops,Blouses
6,858,General Petite,Tops,Knits
11,1095,General Petite,Dresses,Dresses
15,1065,General,Bottoms,Pants
17,853,General,Tops,Blouses
18,1120,General,Jackets,Outerwear
25,697,Initmates,Intimate,Lounge
26,949,General,Tops,Sweaters
27,1003,General,Bottoms,Skirts
28,684,Initmates,Intimate,Lounge
29,4,General,Tops,Sweaters
30,1060,General Petite,Bottoms,Pants
36,1002,General,Bottoms,Skirts
39,862,General,Tops,Knits
42,910,General,Tops,Fine gauge
43,89,Initmates,Intimate,Sleep
47,823,General,Tops,Blouses
52,1104,General,Dresses,Dresses
56,368,Initmates,Intimate,Intimates
69,1078,General Petite,Dresses,Dresses
70,845,General Petite,Tops,Blouses
71,822,General,Tops,Blouses
72,850,General,Tops,Blouses
73,866,General Petite,Tops,Knits
74,1081,General Petite,Dresses,Dresses
76,1082,General,Dresses,Dresses
78,836,General,Tops,Blouses
80,1072,General,Dresses,Dresses
81,863,General Petite,Tops,Knits
82,1133,General,Jackets,Outerwear
84,861,General Petite,Tops,Knits
121,966,General,Jackets,Jackets
122,1196,General Petite,Dresses,Dresses
124,923,General,Tops,Sweaters
138,126,Initmates,Intimate,Lounge
139,1008,General,Bottoms,Skirts
140,829,General,Tops,Blouses
141,828,General,Tops,Blouses
142,1126,General,Jackets,Outerwear
147,1011,General,Bottoms,Skirts
157,523,Initmates,Intimate,Swim
166,1020,General Petite,Bottoms,Skirts
167,895,General,Tops,Fine gauge
170,670,Initmates,Intimate,Sleep
171,329,Initmates,Intimate,Sleep
173,868,General Petite,Tops,Knits
178,1094,General Petite,Dresses,Dresses
187,596,General,Trend,Trend
194,1098,General,Dresses,Dresses
212,1075,General,Dresses,Dresses
216,305,Initmates,Intimate,Swim
223,647,General Petite,Intimate,Lounge
224,1025,General,Bottoms,Jeans
226,815,General Petite,Tops,Blouses
227,1066,General,Bottoms,Pants
228,840,General,Tops,Blouses
229,1026,General,Bottoms,Jeans
233,1030,General,Bottoms,Jeans
238,872,General,Tops,Knits
247,1115,General,Jackets,Outerwear
249,1018,General,Bottoms,Skirts
259,824,General,Tops,Blouses
262,878,General,Tops,Knits
263,984,General Petite,Jackets,Jackets
275,1182,General Petite,Tops,Knits
279,565,General Petite,Trend,Trend
292,1024,General,Bottoms,Jeans
304,1131,General,Jackets,Outerwear
307,831,General,Tops,Blouses
311,1089,General Petite,Dresses,Dresses
312,844,General Petite,Tops,Blouses
318,936,General Petite,Tops,Sweaters
328,907,General,Tops,Fine gauge
331,1103,General,Dresses,Dresses
363,580,Initmates,Intimate,Lounge
375,859,General,Tops,Knits
382,127,General Petite,Intimate,Lounge
385,902,General,Tops,Fine gauge
386,995,General,Bottoms,Skirts
390,1086,General,Dresses,Dresses
392,746,Initmates,Intimate,Intimates
397,1035,General,Bottoms,Jeans
408,1036,General,Bottoms,Jeans
415,1083,General,Dresses,Dresses
422,964,General,Jackets,Jackets
431,967,General,Jackets,Jackets
436,149,Initmates,Intimate,Lounge
455,234,Initmates,Intimate,Swim
463,724,Initmates,Intimate,Intimates
464,833,General,Tops,Blouses
473,204,Initmates,Intimate,Intimates
479,841,General Petite,Tops,Blouses
503,948,General Petite,Tops,Sweaters
558,1044,General Petite,Bottoms,Pants
559,820,General,Tops,Blouses
566,1037,General Petite,Bottoms,Jeans
567,875,General,Tops,Knits
585,835,General,Tops,Blouses
598,1079,General,Dresses,Dresses
611,252,Initmates,Intimate,Swim
612,634,General Petite,Intimate,Lounge
613,985,General,Jackets,Jackets
614,1059,General,Bottoms,Pants
622,117,Initmates,Intimate,Legwear
629,838,General,Tops,Blouses
638,620,General,Bottoms,Shorts
656,943,General,Tops,Sweaters
680,886,General,Tops,Knits
681,1087,General,Dresses,Dresses
682,873,General,Tops,Knits
685,745,Initmates,Intimate,Legwear
687,937,General,Tops,Sweaters
692,1110,General Petite,Dresses,Dresses
703,1137,General,Trend,Trend
704,1165,Initmates,Intimate,Swim
724,245,Initmates,Intimate,Layering
782,945,General,Tops,Sweaters
787,805,Initmates,Intimate,Lounge
816,1105,General,Dresses,Dresses
820,969,General,Jackets,Jackets
842,975,General,Jackets,Jackets
845,548,General,Trend,Trend
857,594,Initmates,Intimate,Lounge
874,1055,General Petite,Bottoms,Pants
876,2,General,Tops,Knits
881,299,General,Bottoms,Shorts
885,1010,General Petite,Bottoms,Skirts
890,754,Initmates,Intimate,Intimates
892,1164,Initmates,Intimate,Layering
893,860,General Petite,Tops,Knits
894,952,General Petite,Tops,Sweaters
902,832,General,Tops,Blouses
906,1015,General,Bottoms,Skirts
912,1111,General Petite,Dresses,Dresses
914,80,Initmates,Intimate,Swim
924,1028,General Petite,Bottoms,Jeans
936,1047,General,Bottoms,Pants
939,1033,General Petite,Bottoms,Jeans
943,154,Initmates,Intimate,Sleep
947,1140,General Petite,Trend,Trend
951,158,Initmates,Intimate,Legwear
959,1154,Initmates,Intimate,Intimates
960,1022,General,Bottoms,Jeans
986,1145,General,Trend,Trend
998,854,General Petite,Tops,Knits
1032,909,General,Tops,Fine gauge
1039,1172,Initmates,Intimate,Swim
1044,864,General,Tops,Knits
1068,1099,General Petite,Dresses,Dresses
1069,1001,General,Bottoms,Skirts
1074,738,Initmates,Intimate,Swim
1082,987,General,Bottoms,Skirts
1105,1076,General,Dresses,Dresses
1110,877,General,Tops,Knits
1111,1068,General,Bottoms,Pants
1116,691,Initmates,Intimate,Lounge
1121,777,Initmates,Intimate,Lounge
1125,992,General Petite,Bottoms,Skirts
1131,927,General,Tops,Sweaters
1144,993,General Petite,Bottoms,Skirts
1147,197,Initmates,Intimate,Swim
1152,1042,General,Bottoms,Pants
1154,59,Initmates,Intimate,Intimates
1159,235,Initmates,Intimate,Swim
1160,720,Initmates,Intimate,Lounge
1178,1204,General Petite,Bottoms,Pants
1222,940,General Petite,Tops,Sweaters
1243,979,General,Jackets,Jackets
1320,865,General,Tops,Knits
1322,819,General,Tops,Blouses
1338,867,General,Tops,Knits
1342,825,General,Tops,Blouses
1343,708,Initmates,Intimate,Lounge
1347,946,General,Tops,Sweaters
1404,1074,General,Dresses,Dresses
1408,230,Initmates,Intimate,Intimates
1409,837,General,Tops,Blouses
1412,442,Initmates,Intimate,Swim
1415,744,Initmates,Intimate,Intimates
1430,775,Initmates,Intimate,Sleep
1452,1175,Initmates,Intimate,Swim
1454,411,Initmates,Intimate,Intimates
1463,839,General,Tops,Blouses
1476,1027,General,Bottoms,Jeans
1510,977,General Petite,Jackets,Jackets
1512,912,General Petite,Tops,Fine gauge
1517,947,General,Tops,Sweaters
1522,424,Initmates,Intimate,Lounge
1524,485,General,Bottoms,Shorts
1536,603,General,Bottoms,Shorts
1543,1122,General,Jackets,Outerwear
1562,1201,General,Dresses,Dresses
1563,996,General Petite,Bottoms,Skirts
1566,1046,General Petite,Bottoms,Pants
1584,942,General,Tops,Sweaters
1589,1051,General Petite,Bottoms,Pants
1591,115,Initmates,Intimate,Sleep
1613,1053,General,Bottoms,Pants
1644,1013,General,Bottoms,Skirts
1649,857,General Petite,Tops,Knits
1654,434,Initmates,Intimate,Lounge
1680,178,Initmates,Intimate,Intimates
1683,899,General Petite,Tops,Fine gauge
1684,914,General,Tops,Fine gauge
1686,225,Initmates,Intimate,Legwear
1689,970,General Petite,Jackets,Jackets
1710,398,Initmates,Intimate,Lounge
1723,431,Initmates,Intimate,Intimates
1735,830,General Petite,Tops,Blouses
1742,769,Initmates,Intimate,Lounge
1745,888,General,Tops,Knits
1747,34,Initmates,Intimate,Intimates
1800,921,General,Tops,Sweaters
1811,994,General Petite,Bottoms,Skirts
1813,481,General Petite,Bottoms,Pants
1821,1054,General,Bottoms,Pants
1833,903,General,Tops,Fine gauge
1882,371,Initmates,Intimate,Lounge
1893,898,General,Tops,Fine gauge
1910,1146,General,Trend,Trend
1911,206,Initmates,Intimate,Sleep
1934,1009,General Petite,Bottoms,Skirts
1935,1092,General Petite,Dresses,Dresses
1937,1016,General,Bottoms,Skirts
1938,1197,General,Dresses,Dresses
1950,807,Initmates,Intimate,Intimates
1957,793,Initmates,Intimate,Sleep
1978,321,Initmates,Intimate,Swim
1985,1116,General,Jackets,Outerwear
1994,1097,General,Dresses,Dresses
1998,164,Initmates,Intimate,Lounge
2013,1134,General,Jackets,Outerwear
2018,63,General,Bottoms,Shorts
2043,896,General,Tops,Fine gauge
2144,911,General,Tops,Fine gauge
2154,160,Initmates,Intimate,Intimates
2158,1052,General,Bottoms,Pants
2171,876,General Petite,Tops,Knits
2185,146,General Petite,Intimate,Lounge
2202,870,General,Tops,Knits
2206,1102,General Petite,Dresses,Dresses
2252,129,Initmates,Intimate,Sleep
2267,418,Initmates,Intimate,Sleep
2272,1173,Initmates,Intimate,Intimates
2275,941,General,Tops,Sweaters
2305,517,Initmates,Intimate,Lounge
2307,935,General,Tops,Sweaters
2316,1100,General,Dresses,Dresses
2342,132,General,Bottoms,Shorts
2375,176,Initmates,Intimate,Sleep
2377,248,Initmates,Intimate,Intimates
2405,930,General,Tops,Sweaters
2420,798,Initmates,Intimate,Intimates
2423,341,General Petite,Bottoms,Pants
2427,939,General,Tops,Sweaters
2430,1085,General Petite,Dresses,Dresses
2472,753,Initmates,Intimate,Lounge
2482,96,Initmates,Intimate,Intimates
2495,14,Initmates,Intimate,Intimates
2529,988,General,Bottoms,Skirts
2542,944,General Petite,Tops,Sweaters
2556,900,General,Tops,Fine gauge
2579,18,General Petite,Bottoms,Jeans
2595,818,General Petite,Tops,Blouses
2597,851,General Petite,Tops,Blouses
2604,659,Initmates,Intimate,Swim
2611,834,General,Tops,Blouses
2635,598,Initmates,Intimate,Swim
2637,649,General Petite,Intimate,Lounge
2654,282,General,Bottoms,Shorts
2657,52,General,Bottoms,Shorts
2661,881,General,Tops,Knits
2665,1128,General,Jackets,Outerwear
2696,817,General,Tops,Blouses
2728,21,General Petite,Tops,Fine gauge
2747,732,Initmates,Intimate,Legwear
2755,1123,General Petite,Jackets,Outerwear
